;j_1_T_supply;j_1_T_return;j_2_T_supply;j_2_T_return;j_2_Q_demand;j_3_T_supply;j_3_T_return;j_3_Q_demand;j_4_T_supply;j_4_T_return;j_4_Q_demand;j_5_T_supply;j_5_T_return;j_5_Q_demand;j_6_T_supply;j_6_T_return;j_6_Q_demand;j_7_T_supply;j_7_T_return;j_7_Q_demand;j_8_T_supply;j_8_T_return;j_8_Q_demand;j_9_T_supply;j_9_T_return;j_9_Q_demand;j_10_T_supply;j_10_T_return;j_10_Q_demand;j_11_T_supply;j_11_T_return;j_11_Q_demand;j_12_T_supply;j_12_T_return;j_12_Q_demand;j_13_T_supply;j_13_T_return;j_13_Q_demand;j_14_T_supply;j_14_T_return;j_14_Q_demand;j_15_T_supply;j_15_T_return;j_15_Q_demand
1;60.0;30.0;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5841470984807895;100.0;40.0;0.6682941969615793;100.0;40.0;1.5207354924039482;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.30000000000000004;100.0;40.0;2.8378792063699048;100.0;40.0;1.682941969615793;100.0;40.0;0.25244129544236893
2;60.0;30.0;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5958649339027922;100.0;40.0;0.6917298678055843;100.0;40.0;1.5793246695139609;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.30000000000000004;100.0;40.0;3.4485182174691755;100.0;40.0;1.9172986780558432;100.0;40.0;0.2875948017083765
3;60.0;30.0;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5545279646535182;100.0;40.0;0.6090559293070362;100.0;40.0;1.3726398232675905;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.30000000000000004;100.0;40.0;1.813258364787166;100.0;40.0;1.0905592930703623;100.0;40.0;0.16358389396055434
4;60.0;30.0;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.592812264082943;100.0;40.0;0.6856245281658863;100.0;40.0;1.5640613204147156;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.30000000000000004;100.0;40.0;3.2712685381294055;100.0;40.0;1.8562452816588622;100.0;40.0;0.27843679224882933
5;60.0;30.0;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5846683958412908;100.0;40.0;0.6693367916825815;100.0;40.0;1.523341979206454;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.30000000000000004;100.0;40.0;2.8614966835897615;100.0;40.0;1.6933679168258156;100.0;40.0;0.2540051875238723
6;60.0;30.0;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5692462976459787;100.0;40.0;0.6384925952919575;100.0;40.0;1.4462314882298934;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.30000000000000004;100.0;40.0;2.2589705079449547;100.0;40.0;1.384925952919574;100.0;40.0;0.2077388929379361
7;60.0;30.0;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5966807182607632;100.0;40.0;0.6933614365215264;100.0;40.0;1.5834035913038158;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.30000000000000004;100.0;40.0;3.4985124912655325;100.0;40.0;1.933614365215263;100.0;40.0;0.29004215478228945
8;60.0;30.0;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5803084799870208;100.0;40.0;0.6606169599740417;100.0;40.0;1.501542399935104;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.30000000000000004;100.0;40.0;2.672027989441955;100.0;40.0;1.6061695997404164;100.0;40.0;0.24092543996106244
9;60.0;30.0;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.576273523613788;100.0;40.0;0.6525470472275758;100.0;40.0;1.4813676180689395;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.30000000000000004;100.0;40.0;2.5113423537954302;100.0;40.0;1.5254704722757582;100.0;40.0;0.2288205708413637
10;60.0;30.0;100.0;40.0;0.3;100.0;40.0;0.2;100.0;40.0;1.5985126084049126;100.0;40.0;0.6970252168098254;100.0;40.0;1.5925630420245636;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.2;100.0;40.0;0.1;100.0;40.0;0.1;100.0;40.0;0.30000000000000004;100.0;40.0;3.61521359819869;100.0;40.0;1.9702521680982543;100.0;40.0;0.29553782521473815
