Run dir,Kind,Status,MIP gap
MM-P1REF,other diagnostic/superseded,optimal,—
MM-S4-HK0__hp_j_12__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_12__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_12__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_12__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_12__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_12__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_13__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_13__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_13__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_13__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_13__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_13__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_1__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_1__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_1__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_1__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_1__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_1__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_3__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_3__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_3__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_3__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_3__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_3__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_5__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_5__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_5__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_5__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_5__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_5__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_9__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_9__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_9__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_9__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_9__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK0__hp_j_9__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_12__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_12__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_12__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_12__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_12__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_12__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_13__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_13__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_13__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_13__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_13__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_13__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_1__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_1__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_1__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_1__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_1__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_1__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_3__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_3__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_3__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_3__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_3__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_3__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_5__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_5__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_5__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_5__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_5__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_5__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_9__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_9__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_9__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_9__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_9__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK1__hp_j_9__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_12__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_12__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_12__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_12__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_12__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_12__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_13__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_13__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_13__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_13__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_13__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_13__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_1__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_1__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_1__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_1__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_1__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_1__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_3__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_3__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_3__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_3__tes_j_3,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_3__tes_j_5,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_3__tes_j_9,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_5__tes_j_1,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_5__tes_j_12,F3 enumeration sub-pair,maxTimeLimit,—
MM-S4-HK2__hp_j_5__tes_j_13,F3 enumeration sub-pair,maxTimeLimit,—
